Page Url,Publisher,Agreement ID,Agreement Labeling,Agreement Published,URL,Start Date,End Date,Consortia/Institution,Country,Size,Commnets on size/article output,Cost,Comments on Cost Development,Financial Shift,Risk Sharing,OA Coverage,Fully Open Access Journals Covered,OA License,Article Types,Access Costs,Comments on Acess Costs,Access Coverage,Perpetual Access Rights,Workflow Assessment,Comments on Workflows,Overall Assessment and Comments
https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024eifl/,The Company of Biologists,compbio2024eifl,COB journals agreement,Yes,https://www.eifl.net/news/eifl-renews-agreement-company-biologists,01/01/2024,12/31/2026,EIFL,"Albania, Armenia, Azerbaijan, Congo, Côte d’Ivoire, Ethiopia, Fiji, Georgia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Moldova, Myanmar, Namibia, Palestine, Nepal, North Macedonia, Ukraine, Senegal, Sudan, Uganda, Tanzania, Uzbekistan, Zambia, Zimbabwe",1,,Agreement costs within the range of the previous spending level,This agreement provides free access as well as free open access publishing for corresponding authors in all five of its journals. The agreement covers 30 EIFL partner countries.,No cost for OA publishing fees or subscriptions,There is no risk to 30 EIFL partner countries,Yes,Yes,CC-BY mandatory,Original research articles,0%,,Yes,No,Ok,,This is an excellent agreement providing 30 EIFL countries with access and free publishing in all COB journals.
https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2020caul,Microbiology Society,microbio2020caul,Microbiology Society Publish & Read Agreement,No,,01/01/2020,12/31/2021,Council of Australian University Librarians (CAUL),Australia,40,Average over last three years,Cost increase,Read spend equivalent to each member’s 2019 direct subscription spend with the Microbiology Society PLUS a Publish spend based on the midpoint APC and the average number of articles published by each member’s authors in 2016-18,Subscriptions partly converted to OA publishing fees,"This is an opt-in, two-year pilot for Consortium members",Yes,Yes,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,This is CAUL’s first transformative agreement and is with a small society publisher. Impact remains to be seen.
https://esac-initiative.org/about/transformative-agreements/agreement-registry/mah2023caul/,MA Healthcare,mah2023caul,Read & Publish Agreement,No,,01/01/2023,12/31/2023,CAUL,Australia,10,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Uncapped agreement,Yes,No,CC-BY-NC,"Original research articles, Review articles, Proceedings, Letters, Editorials",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021eifl/,The Company of Biologists,compbio2021eifl,EIFL CoB journals agreement,Yes,https://www.eifl.net/apcs/company-biologists-free-open-access-publishing,04/23/2021,12/31/2023,EIFL,"Albania, Armenia, Azerbaijan, Congo, Ethiopia, Fiji, Georgia, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, Palestine, Senegal, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",5,,Agreement costs within the range of the previous spending level,,No previous subscription spend,,No,No,CC-BY mandatory,Original research articles,0%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/mah2022caul/,MA Healthcare,mah2022caul,Read & Publish Agreement,No,,01/01/2022,12/31/2022,CAUL,Australia,10,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Uncapped agreement,Yes,No,CC-BY-NC,"Original research articles, Review articles, Proceedings, Letters, Editorials",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2023caul/,Karger,kar2023caul,Karger Publish & Read Agreement,No,,01/01/2023,12/31/2023,CAUL,Australia,30,,Cost decrease,Pricing benefited CAUL members when migrating to Karger’s global pricing policy,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY-NC,"Original research articles, Review articles, Proceedings, Letters, Editorials",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021caul/,Karger,kar2021caul,Karger Publish & Read Agreement,No,,01/01/2021,12/31/2021,CAUL,Australia,30,,Cost decrease,Pricing benefited CAUL members when migrating to Karger’s global pricing policy,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY-NC,"Original research articles, Review articles, Proceedings, Letters, Editorials",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2023csiro/,IEEE,ieee2023csiro,IEEE Read and Publish,No,,01/01/2023,12/31/2023,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,13,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,Yes,Yes,"CC-BY preference, exceptions allowed",Original research articles,More than 50%,,Yes,No,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023caul/,IOP Publishing,iop2023caul,IOP Open Access Agreement,No,,01/01/2023,12/31/2025,CAUL,Australia,67,,Cost increase,Slight increase above average renewal amounts,Subscriptions partly converted to OA publishing fees,This is an uncapped agreement with minimal risk regarding over publication,Yes,Yes,CC-BY mandatory,"Original research articles, Review articles, Letters, Special Issue articles",More than 50%,Share of publishing costs not expressed on the agreement financially,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2023caul/,Future Science Group,fsg2023caul,Future Science Group Fast-Track to OA Read and Publish Agreement,No,,01/01/2023,12/31/2023,CAUL,Australia,50,,Agreement costs within the range of the previous spending level,Cost neutral on subscription cost,Subscriptions partly converted to OA publishing fees,"No limit on OA publishing on hybrid journals, offer does not include Gold OA journal publishing",No,No,CC-BY mandatory,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2022csiro/,IEEE,ieee2022csiro,IEEE Read and Publish,No,,01/01/2022,12/31/2022,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,13,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,Yes,Yes,"CC-BY preference, exceptions allowed",Original research articles,More than 50%,,Yes,No,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023caul/,Elsevier,els2023caul,Elsevier Open Access Agreement,No,,01/01/2023,12/31/2025,CAUL,Australia,13002,"Figure is for all publishing, in Gold and Hybrid, in 2021. Eligible publishing amounts (Cap) are less than that.",Agreement costs within the range of the previous spending level,Agreement costs are within the range of increases typically expected for a non-OA subscription agreement,Others,Capped agreement with no additional expenditure above typical price increases for non-OA subscription agreement. Only risk is if the agreement publishes less than the cap allocation.,No,No,CC-BY variations allowed,"Original research articles, Review articles, Case Reports, Practice Guidelines, Replication Study",More than 50%,Open access publishing values not expressed on the agreement,No,Partly (e.g. to core journals only),Too early to assess,,"This is agreement is viewed as the first step in the transition to full Open Access with this publisher. Further work is required to evolve this agreement to become more sustainable towards CAUL member values and purchase capabilities. CAUL will be carefully monitoring this agreement in coming months to assess next steps in achieve greater value. To reduce the possibility of the cap expiring before a 12-month period in either years 1 or 2, CAUL has selected a subset of “the most published to” titles to be eligible for publishing only."
https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021csiro/,Elsevier,els2021csiro,Elsevier Subscription Agreement,No,,01/01/2021,12/31/2023,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,200,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Open access entitlements under the agreement projected to cover all publishing in eligible journals by year 3,No,No,"CC-BY preference, exceptions allowed","Original research articles, Letters",More than 50%,,No,Partly (e.g. to core journals only),Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2021caul/,Future Science Group,fsg2021caul,Future Science Group Fast-Track to OA Read and Publish Agreement,To be published,,01/01/2021,12/31/2022,CAUL,Australia,50,,Agreement costs within the range of the previous spending level,Cost neutral on subscription cost,Subscriptions partly converted to OA publishing fees,"No limit on OA publishing on hybrid journals, offer does not include Gold OA journal publishing",No,No,CC-BY mandatory,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2022caul/,CSIRO,csiro2022caul,CSIRO CAUL Read and Publish Agreement,No,,01/01/2022,12/31/2024,CAUL,Australia,180,,Cost increase,,Fee is in addition to existing subscription spends,,No,No,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Partly (e.g. to core journals only),Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023caul/,Cambridge University Press,cam2023caul,Cambridge University Read & Publish Agreement,No,https://caul.libguides.com/read-and-publish/cambridge-university-press,01/01/2023,12/31/2023,CAUL,Australia,800,,Agreement costs within the range of the previous spending level,Some CAUL members may incur an increase in cost due to high publishing volumes,Subscriptions partly converted to OA publishing fees,,No,Yes,CC-BY mandatory,"Original research articles, Review articles",More than 50%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2021caul/,CSIRO,csiro2021caul,CSIRO CAUL Read and Publish Agreement,No,,01/01/2021,12/31/2021,CAUL,Australia,625,,Cost increase,,Fee is in addition to existing subscription spends,Uncapped publishing is allowed during this 12-month pilot agreement,No,No,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Partly (e.g. to core journals only),Too early to assess,,"This is the first year of a read and publish agreement between CAUL and CSIRO. This is very much a pilot agreement for both CAUL and CSIRO. After the initial period both parties will commence further assessment of the agreement in terms of success in publishing and access, then seek to refine the offering."
https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2021caul/,The Geological Society London,gsl2021caul,Geological Society of London Read and Publish Agreement,No,,01/01/2021,12/31/2021,CAUL,Australia,27,,Agreement costs within the range of the previous spending level,,Costs are based on subscription plus average OA spend. This is a single year agreement and will be reviewed each year with a view to further converting read to publish fees.,Uncapped publishing in the first year,Yes,No,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,Agreement as per CAUL’s 
https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2023caul/,The Geological Society London,gsl2023caul,Geological Society of London Read and Publish Agreement,No,,01/01/2023,12/31/2023,CAUL,Australia,27,,Agreement costs within the range of the previous spending level,,Costs are based on subscription plus average OA spend. This is a single year agreement and will be reviewed each year with a view to further converting read to publish fees.,,Yes,No,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,Agreement as per CAUL’s 
https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2022caul/,Cambridge University Press,cam2022caul,Cambridge University Read & Publish Agreement,No,https://caul.libguides.com/read-and-publish/cambridge-university-press,01/01/2022,12/31/2022,CAUL,Australia,1000,,Agreement costs within the range of the previous spending level,Some CAUL members may incur an increase in cost due to high publishing volumes,Subscriptions partly converted to OA publishing fees,,No,Yes,CC-BY mandatory,"Original research articles, Review articles",More than 50%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2022csiro/,Taylor & Francis,tf2022csiro,Open Access Read & Publish Agreement,No,,01/01/2022,12/31/2024,CSIRO,Australia,30,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,No,No,"CC-BY preference, exceptions allowed",Original research articles,20%-50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023caul/,Taylor & Francis,tf2023caul,Taylor & Francis Open Access Agreement,No,,01/01/2023,12/31/2025,CAUL,Australia,5190,Number is for all publishing in 2021. Cap amounts for OA agreements are lower,Cost increase,Price increase is slightly above normal subscription increases,Subscriptions partly converted to OA publishing fees,Minimal risk due to only moderate increases in pricing above previous subscription amounts. Potential perceived risk if publishing is less that agreement cap amounts.,No,No,CC-BY mandatory,"Original research articles, Review articles, Editorials, Report, Short Communication, Case Report, Note, Guest Editorial",20%-50%,,No,No,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023csiro/,Springer Nature,sn2023csiro,License Agreement,No,,01/01/2023,12/31/2025,CSIRO,Australia,70,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,No,No,"CC-BY preference, exceptions allowed","Original research articles, Review articles",20%-50%,,No,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2022caul/,Springer Nature,sn2022caul,Read & Publish Agreement,No,,01/01/2022,12/31/2024,CAUL,Australia,3373,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,"Capped agreement on Springer, Adis, Palgrave, and Academic Journals on Nature.com imprints only",No,No,CC-BY mandatory,"Original research articles, Review articles, Brief Communication, Continuing Education",More than 50%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023caul/,SAGE,sage2023caul,SAGE Open Access Agreement,No,,01/01/2023,12/31/2025,CAUL,Australia,2397,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,,Yes,No,CC-BY variations allowed,"Original research articles, Review articles, Brief Communications, Short Reports, Case Reports",More than 50%,Share of publishing costs not expressed on the agreement financially,Yes,No,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023csiro/,Royal Society of Chemistry,rsc2023csiro,Electronic Access Licence Agreement,No,,01/01/2023,12/31/2023,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,10,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,No,No,"CC-BY preference, exceptions allowed",Original research articles,20%-50%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021csiro/,Royal Society of Chemistry,rsc2021csiro,Electronic Access Licence Agreement,No,,01/01/2021,12/31/2022,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,10,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,No,No,"CC-BY preference, exceptions allowed",Original research articles,More than 50%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023caul/,Portland Press,portpress2023caul,Biochemical Society Publish and Read Agreement,No,,01/01/2023,12/31/2023,Council of Australian University Librarians (CAUL),Australia,36,,Cost increase,,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,Too early to assess impact
https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2020caul,Portland Press,portpress2020caul,Biochemical Society Publish and Read Agreement,No,,01/01/2020,12/31/2021,Council of Australian University Librarians (CAUL),Australia,36,Average over last two years,Cost increase,The 2020 PAR price is based on the 2019 subscription price PLUS the average OA spend across 2017-2018 for each member,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,Too early to assess impact
https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2022caul/,Oxford University Press,oxf2022caul,Read & Publish Agreement,No,,01/01/2022,12/31/2024,CAUL,Australia,790,,Agreement costs within the range of the previous spending level,Cost increases for some CAUL Member Institutions required to increase subscription access to full title list,Subscriptions partly converted to OA publishing fees,Capped agreement,No,No,CC-BY mandatory,"Original research articles, Review articles, Case Reports, Brief Reports",More than 50%,,Yes,Yes,Deficient,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023caul/,Microbiology Society,microbio2023caul,Microbiology Society Publish & Read Agreement,No,,01/01/2023,12/31/2023,Council of Australian University Librarians (CAUL),Australia,40,,Cost increase,,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,Original research articles,More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023kemoe/,Cambridge University Press,cam2023kemoe,Read & Pubish agreement,No,,01/01/2023,12/31/2025,KEMOE,Austria,97,2019-2021,Cost increase,No cost increase in comparison to previous R&P-agreement,Publication-based pricing,The risk is equally shared,Yes,Yes,CC-BY variations allowed,"Research, case report, brief report, review or rapid communications format article",0%,Total costs are only based on publication output of previous agreement period,Yes,Yes,Ok,,The percentage of articles published OA as well as the overall number of articles increased over the years
https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2020kemoe/,Cambridge University Press,cam2020kemoe,,No,,01/01/2020,12/31/2022,KEMOE,Austria,63,2020-2022,Cost increase,"Cost increase on institutional level, due to additional subscriptions",Subscriptions partly converted to OA publishing fees,The risk is equally shared,No,Fully OA titles are included selectively,CC-BY variations allowed,"Original research articles, Review articles",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2024sbg/,Brill,brill2024sbg,Read & Publish Agreement,No,,01/01/2024,12/31/2024,University of Salzburg,Austria,5,,Cost increase,,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,"Original research articles, Review articles",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2021univie/,Brill,brill2021univie,,No,,01/01/2021,31/12/2023,University of Vienna,Austria,25,,Cost increase,,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,"Original research articles, Review articles",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2020univie/,Brill,brill2020univie,Read & Publish Pilot programme,No,,01/01/2020,12/31/2020,University of Vienna,Austria,25,,Cost increase,,Subscriptions partly converted to OA publishing fees,,Yes,Yes,CC-BY variations allowed,"Original research articles, Review articles",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2022kemoe/,Association for Computing Machinery,acm2022kemoe,Open Access Model Pilot Agreement,No,,01/01/2022,12/31/2024,KEMOE,Austria,192,2018-2020,Cost increase,"Total fee is based on average number of articles published in 2018-2020, itemized by journal articles and proceeding articles",Subscriptions fully converted to OA publishing fees (access related costs 5% or less),Unlimited OA publishing,Yes,Yes,"CC-BY preference, exceptions allowed","Original research articles, Review articles, Proceedings, other article types for which ACM would otherwise charges APCs",0%,,Yes,Yes,Too early to assess,"The library is not actively involved in the workflow (approval for eligibility), but a dashboard for reporting of published articles (for all publications related to an institution) is provided by the publisher","Open Access for proceeding papers are a welcome addition to our agreements, but there should be more transparency which proceedings are included in the deal"
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2024kemoe/,American Chemical Society,acs2024kemoe,ACS Read & Publish Agreement,No,,01/01/2024,12/31/2026,KEMOE,Austria,100,2020-2022,Cost increase,,Subscriptions fully converted to OA publishing fees (access related costs 5% or less),An unlimited number of OA articles applies (both in fully OA and hybrid journals),Yes,Yes,CC-BY mandatory,"Original research articles, Review articles, Proceedings, Letters",0%,Agreement does not distinguish between reading and publishing fees. Total costs are based on publication value.,Yes,Yes,Ok,Well established workflow via CCC RightsLink. Concise but informative website about agreement for local OA administrators and authors.,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023kemoe/,American Chemical Society,acs2023kemoe,Read & Publish Program Letter Addendum,No,,01/01/2023,12/31/2023,KEMOE,Austria,100,2020-2022,Cost increase,,Subscriptions partly converted to OA publishing fees,OA tokens have no monetary value and are valid during the initial and one-year’s renewal period,Yes,Yes,CC-BY mandatory,"All articles except additions, corrections, or editorials",More than 50%,"Agreement does not distinguish between reading and publishing fees. Total costs are based on access fees of previous subscription-only agreement.
",Yes,Yes,Ok,Well established workflow via CCC RightsLink. Concise but informative website about agreement for local OA administrators and authors.,Well established agreement
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2020kemoe/,ACS,acs2020kemoe,Offset Benefit Program,"No
",,01/01/2020,12/31/2022,KEMOE,Austria,128,2020-2022,Cost increase,,Subscriptions fully converted to OA publishing fees (access related costs 5% or less),The full amount of the license fees are recalculated as APC budget in the form of OA credits (tokens). The calculated credits are expected to cover the expected annual article output of the participating institutions. Each additional article will be invoiced separately.,Yes,No,CC-BY mandatory,"All article types are included, except ebooks",0%,," 
",Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023univie/,AIP Publishing,aip2023univie,Read & Publish,No,,01/01/2023,12/31/2025,University of Vienna,Austria,15,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,,Yes,No,"CC-BY preference, exceptions allowed","Original research articles, Review articles",20%-50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2020univie/,AIP Publishing,aip2020univie,Read & Publish,No,,01/01/2020,12/31/2022,University of Vienna,Austria,15,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,,Yes,No,"CC-BY preference, exceptions allowed","Original research articles, Review articles",20%-50%,,Yes,Yes,Too early to assess,,
